Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.795	5.996	33	31	41	1.242	0.502	1.000	1	3	399.212	271.788	28.091	0.474	0.137	0.471	399.195	271.805	28.244	398	270	26	4	4	4
1.253	9.312	52	45	95	1.827	1.324	1.000	1	7	498.827	300.942	27.942	0.582	0.140	0.557	498.905	300.968	28.232	497	299	26	5	5	4
1.133	8.272	47	42	91	1.936	1.451	1.000	1	7	39.277	323.021	28.298	0.536	0.131	0.542	39.242	323.066	28.527	37	321	26	5	6	4
1.591	9.382	66	52	166	2.515	2.200	2.000	1	11	257.909	397.970	27.833	0.617	0.102	0.588	257.976	397.964	28.199	256	396	26	5	5	4
1.036	8.025	43	40	60	1.395	0.903	1.000	1	5	125.256	436.047	28.093	0.548	0.171	0.530	125.250	436.033	28.317	123	434	26	5	5	4
0.434	4.726	18	18	19	1.056	0.236	1.000	1	2	473.833	25.778	28.333	0.385	0.136	0.361	473.842	25.789	28.368	473	24	27	3	4	3
0.554	4.603	23	22	25	1.087	0.288	1.000	1	2	258.000	63.000	28.174	0.403	0.092	0.407	258.000	63.000	28.200	257	62	27	3	3	3
1.759	12.382	73	67	148	2.027	1.922	1.000	1	11	127.671	65.863	28.411	0.731	0.259	0.734	128.020	65.655	28.595	123	63	27	9	8	3
0.675	5.873	28	26	36	1.286	0.659	1.000	1	4	167.036	72.821	28.286	0.441	0.107	0.426	167.028	72.861	28.417	165	71	27	5	5	3
0.506	4.726	21	20	22	1.048	0.218	1.000	1	2	169.048	81.000	28.286	0.407	0.106	0.377	169.045	81.000	28.318	167	80	27	4	3	3
1.253	8.643	52	48	108	2.077	1.770	1.000	1	8	250.231	110.519	28.327	0.543	0.126	0.541	250.111	110.509	28.565	248	108	27	5	6	3
0.844	6.861	35	33	67	1.914	1.292	1.000	1	6	286.914	119.000	28.486	0.470	0.124	0.512	286.851	119.000	28.597	285	117	27	5	5	3
1.060	7.673	44	42	83	1.886	1.333	1.000	1	6	81.000	122.500	28.455	0.511	0.136	0.496	81.000	122.518	28.602	79	120	27	5	6	3
0.771	5.555	32	30	43	1.344	0.602	1.000	1	3	204.500	154.000	28.125	0.453	0.092	0.451	204.558	153.953	28.186	203	153	27	4	3	3
1.085	7.814	45	41	87	1.933	1.498	1.000	1	7	169.844	162.800	28.422	0.515	0.124	0.548	169.920	162.690	28.598	168	160	27	5	6	3
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	470.000	205.000	28.211	0.412	0.102	0.432	470.000	205.000	28.250	469	204	27	3	3	3
0.988	7.336	41	36	55	1.341	0.575	1.000	1	3	469.098	211.341	28.000	0.509	0.091	0.502	469.073	211.364	28.127	467	210	27	5	4	3
0.675	5.785	28	27	41	1.464	0.744	1.000	1	4	474.000	217.714	28.571	0.421	0.111	0.438	474.024	217.732	28.659	472	216	27	5	5	3
1.085	7.637	45	40	128	2.844	2.738	1.000	1	13	414.000	261.911	28.267	0.516	0.100	0.546	414.000	261.953	28.531	412	260	27	5	5	3
0.434	4.338	18	17	18	1.000	0.000	1.000	1	1	464.222	273.056	28.444	0.379	0.102	0.350	464.222	273.056	28.444	463	272	27	4	3	3
0.651	5.996	27	25	31	1.148	0.456	1.000	1	3	349.556	323.889	28.296	0.453	0.122	0.453	349.581	323.871	28.387	348	322	27	5	5	3
0.844	6.861	35	33	47	1.343	0.802	1.000	1	4	376.000	342.143	28.486	0.472	0.127	0.499	376.000	342.106	28.596	374	340	27	5	5	3
0.675	5.167	28	26	31	1.107	0.416	1.000	1	3	120.000	461.393	28.214	0.440	0.095	0.434	120.000	461.419	28.290	119	460	27	3	4	3
