Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.434	4.814	18	16	4489	249.389	42.633	247.000	200	348	199.889	60.167	18.833	0.459	0.186	0.432	199.901	60.137	18.793	199	59	17	3	3	5
0.289	3.861	12	12	2602	216.833	9.962	219.000	200	231	185.750	214.667	19.250	0.543	0.311	0.513	185.762	214.666	19.270	185	214	17	2	2	6
0.337	3.403	14	14	3382	241.571	32.585	234.000	200	304	151.571	384.500	18.286	0.404	0.176	0.336	151.605	384.531	18.279	151	384	17	2	2	4
0.747	6.612	31	28	9103	293.645	72.011	273.000	202	471	204.097	431.742	19.226	0.545	0.225	0.523	204.118	431.720	19.226	203	431	17	3	3	6
1.759	13.224	73	64	20131	275.767	55.642	265.000	205	436	143.890	483.370	20.726	0.828	0.378	0.736	143.906	483.361	20.735	143	481	17	3	6	9
3.929	19.589	163	106	79886	490.098	286.287	392.000	200	1502	151.939	27.110	22.215	1.047	0.403	0.997	151.997	27.146	22.164	150	25	18	5	5	10
0.410	4.620	17	15	4377	257.471	48.047	242.000	207	370	201.824	56.176	19.471	0.438	0.149	0.361	201.843	56.172	19.451	201	55	18	3	3	4
0.386	3.597	16	16	4082	255.125	30.576	254.500	212	312	132.500	91.500	19.500	0.437	0.180	0.437	132.472	91.520	19.504	132	91	18	2	2	4
0.434	4.426	18	17	4447	247.056	34.179	239.000	201	313	213.278	109.667	19.389	0.433	0.157	0.371	213.287	109.668	19.398	212	109	18	3	3	4
1.808	15.093	75	63	20218	269.573	64.388	254.000	200	476	165.453	141.787	22.907	1.103	0.576	1.158	165.526	141.846	22.706	163	139	18	5	6	11
4.724	26.484	196	145	76806	391.867	185.961	332.500	200	972	194.087	229.122	23.556	1.221	0.508	1.158	194.143	229.107	23.792	191	226	18	8	7	11
1.470	14.828	61	60	13952	228.721	26.316	222.000	200	307	236.590	225.738	23.770	1.103	0.554	1.107	236.611	225.663	23.907	235	223	18	5	7	11
1.060	9.062	44	43	15726	357.409	134.992	316.500	202	698	37.818	0.432	22.523	0.691	0.320	0.637	37.795	0.367	22.528	36	0	19	5	3	8
0.554	6.823	23	23	6228	270.783	66.766	236.000	200	391	166.565	0.087	23.435	0.700	0.420	0.620	166.560	0.067	23.489	165	0	19	4	2	9
0.241	3.279	10	10	2187	218.700	12.338	215.000	200	238	147.300	80.600	20.600	0.436	0.252	0.298	147.306	80.615	20.602	147	80	19	2	2	5
0.241	3.403	10	10	2243	224.300	23.485	217.500	204	267	221.300	314.000	20.900	0.418	0.229	0.414	221.285	314.000	20.883	221	313	19	2	3	5
0.675	5.907	28	25	7527	268.821	50.354	262.500	203	382	158.821	375.679	20.964	0.531	0.211	0.483	158.797	375.658	20.985	158	375	19	3	3	5
